time_iso8601,forks_cumulative
2018-05-29 00:00:00+00:00,1
2018-05-30 00:00:00+00:00,2
2018-05-31 00:00:00+00:00,3
2018-06-29 00:00:00+00:00,5
2018-07-10 00:00:00+00:00,6
2018-07-17 00:00:00+00:00,7
2018-07-30 00:00:00+00:00,8
2018-08-13 00:00:00+00:00,9
2018-08-16 00:00:00+00:00,10
2018-08-27 00:00:00+00:00,11
2018-08-28 00:00:00+00:00,12
2018-08-29 00:00:00+00:00,13
2018-09-05 00:00:00+00:00,14
2018-09-07 00:00:00+00:00,15
2018-09-09 00:00:00+00:00,16
2018-10-15 00:00:00+00:00,17
2018-12-18 00:00:00+00:00,18
2019-01-04 00:00:00+00:00,19
2019-01-15 00:00:00+00:00,20
2019-01-16 00:00:00+00:00,21
2019-01-23 00:00:00+00:00,22
2019-02-01 00:00:00+00:00,23
2019-02-12 00:00:00+00:00,24
2019-02-20 00:00:00+00:00,25
2019-02-21 00:00:00+00:00,26
2019-02-27 00:00:00+00:00,27
2019-03-05 00:00:00+00:00,28
2019-03-06 00:00:00+00:00,29
2019-03-07 00:00:00+00:00,30
2019-03-08 00:00:00+00:00,34
2019-03-11 00:00:00+00:00,41
2019-03-12 00:00:00+00:00,50
2019-03-13 00:00:00+00:00,53
2019-03-14 00:00:00+00:00,56
2019-03-15 00:00:00+00:00,57
2019-03-16 00:00:00+00:00,58
2019-03-19 00:00:00+00:00,59
2019-03-26 00:00:00+00:00,60
2019-03-31 00:00:00+00:00,61
2019-04-02 00:00:00+00:00,62
2019-04-03 00:00:00+00:00,63
2019-04-04 00:00:00+00:00,69
2019-04-10 00:00:00+00:00,70
2019-04-12 00:00:00+00:00,71
2019-04-16 00:00:00+00:00,72
2019-04-17 00:00:00+00:00,74
2019-04-19 00:00:00+00:00,76
2019-04-21 00:00:00+00:00,77
2019-04-22 00:00:00+00:00,80
2019-04-23 00:00:00+00:00,81
2019-04-25 00:00:00+00:00,84
2019-04-29 00:00:00+00:00,85
2019-05-06 00:00:00+00:00,86
2019-05-07 00:00:00+00:00,89
2019-05-08 00:00:00+00:00,91
2019-05-17 00:00:00+00:00,92
2019-05-18 00:00:00+00:00,93
2019-05-23 00:00:00+00:00,94
2019-05-27 00:00:00+00:00,95
2019-05-30 00:00:00+00:00,96
2019-05-31 00:00:00+00:00,97
2019-06-09 00:00:00+00:00,100
2019-06-10 00:00:00+00:00,101
2019-06-18 00:00:00+00:00,102
2019-06-25 00:00:00+00:00,104
2019-06-26 00:00:00+00:00,105
2019-06-27 00:00:00+00:00,106
2019-07-01 00:00:00+00:00,109
2019-07-02 00:00:00+00:00,112
2019-07-03 00:00:00+00:00,113
2019-07-05 00:00:00+00:00,114
2019-07-08 00:00:00+00:00,115
2019-07-17 00:00:00+00:00,116
2019-07-18 00:00:00+00:00,117
2019-07-23 00:00:00+00:00,118
2019-07-30 00:00:00+00:00,120
2019-08-05 00:00:00+00:00,121
2019-08-12 00:00:00+00:00,122
2019-08-14 00:00:00+00:00,123
2019-08-16 00:00:00+00:00,124
2019-08-23 00:00:00+00:00,125
2019-08-26 00:00:00+00:00,126
2019-08-29 00:00:00+00:00,129
2019-09-05 00:00:00+00:00,131
2019-09-09 00:00:00+00:00,132
2019-09-16 00:00:00+00:00,133
2019-09-23 00:00:00+00:00,134
2019-09-24 00:00:00+00:00,136
2019-09-26 00:00:00+00:00,137
2019-09-29 00:00:00+00:00,138
2019-10-08 00:00:00+00:00,139
2019-10-18 00:00:00+00:00,140
2019-10-21 00:00:00+00:00,141
2019-10-22 00:00:00+00:00,142
2019-10-28 00:00:00+00:00,143
2019-10-31 00:00:00+00:00,144
2019-11-01 00:00:00+00:00,146
2019-11-04 00:00:00+00:00,147
2019-11-13 00:00:00+00:00,149
2019-11-21 00:00:00+00:00,150
2019-11-23 00:00:00+00:00,151
2019-11-28 00:00:00+00:00,152
2019-11-30 00:00:00+00:00,153
2019-12-02 00:00:00+00:00,154
2019-12-09 00:00:00+00:00,155
2019-12-10 00:00:00+00:00,158
2019-12-25 00:00:00+00:00,159
2019-12-30 00:00:00+00:00,160
2019-12-31 00:00:00+00:00,161
2020-01-02 00:00:00+00:00,162
2020-01-03 00:00:00+00:00,164
2020-01-05 00:00:00+00:00,165
2020-01-08 00:00:00+00:00,166
2020-01-09 00:00:00+00:00,167
2020-01-10 00:00:00+00:00,168
2020-01-17 00:00:00+00:00,169
2020-02-06 00:00:00+00:00,170
2020-02-07 00:00:00+00:00,171
2020-02-08 00:00:00+00:00,172
2020-02-12 00:00:00+00:00,173
2020-02-20 00:00:00+00:00,174
2020-02-25 00:00:00+00:00,175
2020-02-27 00:00:00+00:00,177
2020-02-28 00:00:00+00:00,178
2020-02-29 00:00:00+00:00,179
2020-03-01 00:00:00+00:00,180
2020-03-02 00:00:00+00:00,181
2020-03-04 00:00:00+00:00,182
2020-03-05 00:00:00+00:00,183
2020-03-06 00:00:00+00:00,184
2020-03-09 00:00:00+00:00,186
2020-03-18 00:00:00+00:00,188
2020-03-19 00:00:00+00:00,189
2020-03-24 00:00:00+00:00,191
2020-03-27 00:00:00+00:00,192
2020-03-28 00:00:00+00:00,194
2020-04-10 00:00:00+00:00,195
2020-04-13 00:00:00+00:00,196
2020-04-14 00:00:00+00:00,197
2020-04-15 00:00:00+00:00,198
2020-04-18 00:00:00+00:00,199
2020-04-21 00:00:00+00:00,200
2020-04-22 00:00:00+00:00,202
2020-04-24 00:00:00+00:00,203
2020-05-04 00:00:00+00:00,204
2020-05-09 00:00:00+00:00,205
2020-05-12 00:00:00+00:00,206
2020-05-13 00:00:00+00:00,207
2020-05-14 00:00:00+00:00,208
2020-05-15 00:00:00+00:00,210
2020-05-20 00:00:00+00:00,211
2020-05-21 00:00:00+00:00,212
2020-05-26 00:00:00+00:00,217
2020-05-31 00:00:00+00:00,220
2020-06-06 00:00:00+00:00,221
2020-06-18 00:00:00+00:00,222
2020-06-19 00:00:00+00:00,223
2020-06-21 00:00:00+00:00,224
2020-06-23 00:00:00+00:00,225
2020-06-24 00:00:00+00:00,226
2020-06-28 00:00:00+00:00,227
2020-07-01 00:00:00+00:00,229
2020-07-04 00:00:00+00:00,230
2020-07-07 00:00:00+00:00,231
2020-07-11 00:00:00+00:00,232
2020-07-13 00:00:00+00:00,233
2020-07-14 00:00:00+00:00,235
2020-07-16 00:00:00+00:00,236
2020-07-23 00:00:00+00:00,237
2020-07-24 00:00:00+00:00,238
2020-07-25 00:00:00+00:00,239
2020-07-31 00:00:00+00:00,242
2020-08-02 00:00:00+00:00,243
2020-08-03 00:00:00+00:00,244
2020-08-04 00:00:00+00:00,246
2020-08-05 00:00:00+00:00,247
2020-08-12 00:00:00+00:00,248
2020-08-24 00:00:00+00:00,252
2020-08-25 00:00:00+00:00,255
2020-08-26 00:00:00+00:00,256
2020-09-05 00:00:00+00:00,257
2020-09-08 00:00:00+00:00,258
2020-09-12 00:00:00+00:00,259
2020-09-16 00:00:00+00:00,260
2020-09-17 00:00:00+00:00,262
2020-09-18 00:00:00+00:00,263
2020-09-24 00:00:00+00:00,264
2020-09-29 00:00:00+00:00,265
2020-09-30 00:00:00+00:00,266
2020-10-12 00:00:00+00:00,267
2020-10-17 00:00:00+00:00,268
2020-10-22 00:00:00+00:00,269
2020-10-31 00:00:00+00:00,270
2020-11-03 00:00:00+00:00,271
2020-11-05 00:00:00+00:00,272
2020-11-13 00:00:00+00:00,273
2020-11-17 00:00:00+00:00,274
2020-11-24 00:00:00+00:00,275
2020-11-26 00:00:00+00:00,277
2020-11-28 00:00:00+00:00,278
2020-12-07 00:00:00+00:00,279
2020-12-11 00:00:00+00:00,280
2020-12-17 00:00:00+00:00,281
2020-12-18 00:00:00+00:00,282
2020-12-24 00:00:00+00:00,283
2020-12-27 00:00:00+00:00,284
2021-01-10 00:00:00+00:00,285
2021-01-15 00:00:00+00:00,286
2021-01-21 00:00:00+00:00,287
2021-01-26 00:00:00+00:00,289
2021-01-28 00:00:00+00:00,290
2021-02-19 00:00:00+00:00,291
2021-02-24 00:00:00+00:00,292
2021-02-26 00:00:00+00:00,293
2021-03-02 00:00:00+00:00,294
2021-03-03 00:00:00+00:00,305
2021-03-04 00:00:00+00:00,316
2021-03-05 00:00:00+00:00,320
2021-03-06 00:00:00+00:00,321
2021-03-08 00:00:00+00:00,323
2021-03-09 00:00:00+00:00,325
2021-03-13 00:00:00+00:00,326
2021-03-17 00:00:00+00:00,327
2021-03-18 00:00:00+00:00,329
2021-03-19 00:00:00+00:00,330
2021-03-23 00:00:00+00:00,331
2021-03-25 00:00:00+00:00,332
2021-03-30 00:00:00+00:00,333
2021-03-31 00:00:00+00:00,336
2021-04-01 00:00:00+00:00,342
2021-04-02 00:00:00+00:00,344
2021-04-05 00:00:00+00:00,345
2021-04-06 00:00:00+00:00,348
2021-04-08 00:00:00+00:00,352
2021-04-14 00:00:00+00:00,354
2021-04-16 00:00:00+00:00,356
2021-04-19 00:00:00+00:00,357
2021-04-21 00:00:00+00:00,359
2021-04-22 00:00:00+00:00,360
2021-04-25 00:00:00+00:00,361
2021-04-26 00:00:00+00:00,362
2021-04-29 00:00:00+00:00,363
2021-04-30 00:00:00+00:00,364
2021-05-04 00:00:00+00:00,365
2021-05-05 00:00:00+00:00,366
2021-05-08 00:00:00+00:00,367
2021-05-10 00:00:00+00:00,368
2021-05-12 00:00:00+00:00,369
2021-05-19 00:00:00+00:00,370
2021-05-25 00:00:00+00:00,373
2021-05-26 00:00:00+00:00,374
2021-05-28 00:00:00+00:00,375
2021-05-31 00:00:00+00:00,376
2021-06-02 00:00:00+00:00,377
2021-06-03 00:00:00+00:00,378
