time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-10 00:00:00+00:00,62,14,1240,296
2023-07-11 00:00:00+00:00,73,14,1305,230
2023-07-12 00:00:00+00:00,56,13,1455,179
2023-07-13 00:00:00+00:00,80,16,1480,227
2023-07-14 00:00:00+00:00,46,11,1141,196
2023-07-15 00:00:00+00:00,39,9,437,85
2023-07-16 00:00:00+00:00,3,3,163,75
2023-07-17 00:00:00+00:00,32,12,877,184
2023-07-18 00:00:00+00:00,32,7,1261,207
2023-07-19 00:00:00+00:00,38,13,966,167
2023-07-20 00:00:00+00:00,78,15,859,172
2023-07-21 00:00:00+00:00,51,15,1150,187
2023-07-22 00:00:00+00:00,7,6,478,81
2023-07-23 00:00:00+00:00,3,3,370,58
